"date_hist","trade_id","bs","account_detail_id","payment","current_liability","interest","daily_interest","repayment","date_delivery2","is_end_repo","commission","currency_pay_id","qty","mv_start","mv","pl","qty_start","trade_type","interest_pay","ndfl_pay","ndfl","change_notional","is_capitalization"
"2022-06-30","-919840409266145170","B","386757510041451","800","0","0","0.67","-813.5","2022-06-30",1,"0",1,"0","0","0","0.67","0",1,"13.5","0","-800","0",0
"2022-06-29","-919840409266145170","B","386757510041451","800","800","12.83","0.68","-813.5","2022-06-30",0,"0",1,"10","0","812.83","0.68","0",1,"0","0","0","0",0
"2022-06-28","-919840409266145170","B","386757510041451","800","800","12.15","0.67","-813.5","2022-06-30",0,"0",1,"10","0","812.15","0.67","0",1,"0","0","0","0",0
"2022-06-27","-919840409266145170","B","386757510041451","800","800","11.48","0.68","-813.5","2022-06-30",0,"0",1,"10","0","811.48","0.68","0",1,"0","0","0","0",0
"2022-06-26","-919840409266145170","B","386757510041451","800","800","10.8","0.67","-813.5","2022-06-30",0,"0",1,"10","0","810.8","0.67","0",1,"0","0","0","0",0
"2022-06-25","-919840409266145170","B","386757510041451","800","800","10.13","0.68","-813.5","2022-06-30",0,"0",1,"10","0","810.13","0.68","0",1,"0","0","0","0",0
"2022-06-24","-919840409266145170","B","386757510041451","800","800","9.45","0.67","-813.5","2022-06-30",0,"0",1,"10","0","809.45","0.67","0",1,"0","0","0","0",0
"2022-06-23","-919840409266145170","B","386757510041451","800","800","8.78","0.68","-813.5","2022-06-30",0,"0",1,"10","0","808.78","0.68","0",1,"0","0","0","0",0
"2022-06-22","-919840409266145170","B","386757510041451","800","800","8.1","0.67","-813.5","2022-06-30",0,"0",1,"10","0","808.1","0.67","0",1,"0","0","0","0",0
"2022-06-21","-919840409266145170","B","386757510041451","800","800","7.43","0.68","-813.5","2022-06-30",0,"0",1,"10","0","807.43","0.68","0",1,"0","0","0","0",0
"2022-06-20","-919840409266145170","B","386757510041451","800","800","6.75","0.67","-813.5","2022-06-30",0,"0",1,"10","0","806.75","0.67","0",1,"0","0","0","0",0
"2022-06-19","-919840409266145170","B","386757510041451","800","800","6.08","0.68","-813.5","2022-06-30",0,"0",1,"10","0","806.08","0.68","0",1,"0","0","0","0",0
"2022-06-18","-919840409266145170","B","386757510041451","800","800","5.4","0.67","-813.5","2022-06-30",0,"0",1,"10","0","805.4","0.67","0",1,"0","0","0","0",0
"2022-06-17","-919840409266145170","B","386757510041451","800","800","4.73","0.68","-813.5","2022-06-30",0,"0",1,"10","0","804.73","0.68","0",1,"0","0","0","0",0
"2022-06-16","-919840409266145170","B","386757510041451","800","800","4.05","0.67","-813.5","2022-06-30",0,"0",1,"10","0","804.05","0.67","0",1,"0","0","0","0",0
"2022-06-15","-919840409266145170","B","386757510041451","800","800","3.38","0.68","-813.5","2022-06-30",0,"0",1,"10","0","803.38","0.68","0",1,"0","0","0","0",0
"2022-06-14","-919840409266145170","B","386757510041451","800","800","2.7","0.67","-813.5","2022-06-30",0,"0",1,"10","0","802.7","0.67","0",1,"0","0","0","0",0
"2022-06-13","-919840409266145170","B","386757510041451","800","800","2.03","0.68","-813.5","2022-06-30",0,"0",1,"10","0","802.03","0.68","0",1,"0","0","0","0",0
"2022-06-12","-919840409266145170","B","386757510041451","800","800","1.35","0.67","-813.5","2022-06-30",0,"0",1,"10","0","801.35","0.67","0",1,"0","0","0","0",0
"2022-06-11","-919840409266145170","B","386757510041451","800","800","0.68","0.68","-813.5","2022-06-30",0,"0",1,"10","0","800.68","0.68","0",1,"0","0","0","0",0
"2022-06-10","-919840409266145170","B","386757510041451","800","800","0","0","-813.5","2022-06-30",0,"0",1,"10","0","0","0","0",1,"0","0","800","0",0
